Name,URL,Purpose,Status
Website,https://queenayodele.com,Main website,Ready
Email,hello@queenayodele.com,Main contact email,Ready
Substack,https://thefreebezalel.substack.com/,QAB general newsletter,Ready
Founder’s Circle,https://www.linkedin.com/newsletters/the-founder%E2%80%99s-circle-with-qab-7429197985235820545/,Professional LinkedIn newsletter,Ready
Linktree,https://linktr.ee/Queen.Ayodele.Bezalel,All links backup,Ready
Spotify,https://open.spotify.com/show/1vZCBqnuU4nTlahvhnrQRt,Christian Mentality with QAB,Ready
YouTube,https://www.youtube.com/@thefreeBezalel,Video library,Ready
Instagram,https://www.instagram.com/thefreebezalel_/,Daily visual/community,Ready
TikTok,https://www.tiktok.com/@thefreebezalel,Discovery,Ready
LinkedIn,https://www.linkedin.com/in/queen-ayodele-05b9a2207/,Professional profile,Ready
X,https://x.com/thefree_writer,Conversation/cross-posting,Ready
Threads,https://www.threads.com/@thefreebezalel_,Conversation/cross-posting,Ready
